pet_body,slot,display_name,skill,root_skill,nest_depth,skill_class,n_damage_rows,summoned_by,sim_fires_today,sim_basis,slot_field,dbr_skill_name,chance_pct,delay_s,timeout_s,range_band,range_gate_min_m,range_gate_max_m,short_range_min_m,short_range_max_m,medium_range_min_m,medium_range_max_m,long_range_min_m,long_range_max_m,character_attack_speed,body_class,skillCooldownTime,skillActiveDuration,skillChargeDuration,skillChargeLevel,skillTargetRadius,skillTargetNumber,skillTargetAngle,skillMaxLevel,anim_binding_grade,special_anm,special_anm_frames,special_anm_dur_s,fallback_anm,fallback_anm_dur_s,slot_join_ok,join_key,gate_fields_present,verdict
records/creatures/enemies/aetherialworm_b01_summon.dbr,special1,tagGDX1EnemyAetherialWorm_B01,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonspit.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonspit.dbr,0,Skill_AttackProjectile,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttackSkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonspit.dbr,100.0,1.5,1.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/aetherialworm_b01_summon.dbr,special2,tagGDX1EnemyAetherialWorm_B01,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonburst.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonburst.dbr,0,Skill_AttackProjectileBurst,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonburst.dbr,80.0,5.0,3.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/aetherialworm_b02_summon.dbr,special1,tagGDX1EnemyAetherialWorm_B02,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_firespit.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_firespit.dbr,0,Skill_AttackProjectile,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttackSkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_firespit.dbr,100.0,1.5,1.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/aetherialworm_b02_summon.dbr,special2,tagGDX1EnemyAetherialWorm_B02,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_fireburst.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_fireburst.dbr,0,Skill_AttackProjectileBurst,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_fireburst.dbr,80.0,5.0,3.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/aetherialworm_b03_summon.dbr,special1,tagGDX1EnemyAetherialWorm_B03,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_icespit.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_icespit.dbr,0,Skill_AttackProjectile,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttackSkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_icespit.dbr,100.0,1.5,1.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/aetherialworm_b03_summon.dbr,special2,tagGDX1EnemyAetherialWorm_B03,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_iceburst.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_iceburst.dbr,0,Skill_AttackProjectileBurst,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_iceburst.dbr,80.0,5.0,3.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/aetherialworm_b04_summon.dbr,special1,tagGDX1EnemyAetherialWorm_B04,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_lightningspit.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_lightningspit.dbr,0,Skill_AttackProjectile,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttackSkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_lightningspit.dbr,100.0,1.5,1.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/aetherialworm_b04_summon.dbr,special2,tagGDX1EnemyAetherialWorm_B04,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_lightningburst.dbr,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_lightningburst.dbr,0,Skill_AttackProjectileBurst,2,aetherialbloater_malmouthdocks_01.dbr,NO,SUPPRESSED,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_lightningburst.dbr,80.0,5.0,3.0,MediumRange,2.0,16.0,0.0,4.0,2.0,16.0,8.0,18.0,1.0,Monster,,,,,,,,60,DIRECT-REF,aetherialworm_attack_spit_a01.anm,18,0.6,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
records/creatures/enemies/bonerat_witchgod_a01_summon.dbr,special1,tagEnemyBoneratWitchGodA01,records/skills/nonplayerskills/buff/bonerat_witchgod_frenzy.dbr,records/skills/nonplayerskills/buff/bonerat_witchgod_frenzy.dbr,0,Skill_BuffSelfDuration,1,witchgod_finalboss.dbr,YES,skill_cooldown_s,specialAttackSkillName,records/skills/nonplayerskills/buff/bonerat_witchgod_frenzy.dbr,100.0,15.0,3.0,ShortRange,0.0,5.0,0.0,5.0,4.0,15.0,3.0,18.0,1.100000023841858,Monster,15.0,8.0,,,,,,1,NO-REF,,,,bonerat01a_alert_a01.anm,1.7,YES,skill,chance_pct|delay_s|timeout_s|range_band|skillCooldownTime,DECODED
records/creatures/enemies/chthoniandevourer_a01_summon.dbr,special1,tagEnemyChthonianDevourerA01,records/skills/nonplayerskills/attackmelee/chthoniandevourer_chomp.dbr,records/skills/nonplayerskills/attackmelee/chthoniandevourer_chomp.dbr,0,Skill_AttackWeapon,2,cultist_summoner_01.dbr,NO,SUPPRESSED,specialAttackSkillName,records/skills/nonplayerskills/attackmelee/chthoniandevourer_chomp.dbr,33.0,4.0,3.0,MediumRange,4.0,18.0,0.0,3.0,4.0,18.0,8.0,18.0,1.4500000476837158,Monster,,,,,,1,20.0,60,DIRECT-REF,devourer_attack_a01.anm,25,0.8333,,,YES,skill,chance_pct|delay_s|timeout_s|range_band,DECODED
