key_group,atlas_key,status,cross_ref,key_completeness,cell_members,cell_tier_span,cell_games,cell_neg,rank_in_cell,representative,source,cell_id,kit_id,folk_name,corpus,game,tier,canon_tier,negative,flags,lineage,gx,proxy,geo,commit,econ,mob,elem_p,avg_conf,spend_stratum,basin,meta,power_rating,eras,prov,mechanics_status,blocking_mechanics,mech_note
DRHFSI-HMDD-SP-PH-~~,DRHFSI-HMDD-SP-PH-~~,,,12,4,"T1,T2b",3,0,1,True,canon,SOLO|MULTI|INST×GAP-P1-05,poe1-tornado-shot,Tornado Shot,poe1,poe1,T1,deep,False,,,GAP-P1-05,solo,multi-spawn,instant,mana-light,very-high,physical,0.87,,,,,1.x;3.0-3.6;3.7-3.13;3.20+,el;kb,have-core,direct-hit instant verbs native,Arrow flies to a point then bursts into secondary arrows in all directions — projectile-spawns-projectiles; the endgame magic-find throne fo
DRHFSI-HMDD-SP-PH-~~,DRHFSI-HMDD-SP-PH-~~,,,12,4,"T1,T2b",3,0,2,False,canon,SOLO|MULTI|INST×GAP-P1-05,poe1-wander,Wander (Kinetic Blast),poe1,poe1,T1,deep,False,,,GAP-P1-05,solo,multi-spawn,instant,mana-light,very-high,physical,0.85,,,,,2.x;3.0-3.6;3.20+,mb;od2;kb,have-core,direct-hit instant verbs native,"Wand shots explode in clustered secondary blasts around impact — screen-paint clearing; the named wander MF archetype, refreshed by the 3.27"
DRHFSI-HMDD-SP-PH-~~,DRHFSI-HMDD-SP-PH-~~,,,12,4,"T1,T2b",3,0,3,False,canon,SOLO|MULTI|INST×GX-10,d4-quill-volley,Quill Volley Spiritborn,d4,d4,T1,deep,False,degenerate-famous,,GX-10,solo,multi-spawn,instant,vigor-spender,high,physical,0.82,,,,,voh-s6+,kb,blocked-new,return-path/carom projectile solver,"Eagle-spirit feather volleys that pierced, returned, and multiplied through bugged interactions into damage ORDERS OF MAGNITUDE past every o"
DRHFSI-HMDD-SP-PH-~~,DRHFSI-HMDD-SP-PH-~~,,,12,4,"T1,T2b",3,0,4,False,canon,SOLO|MULTI|INST×econ:spend,ud-spread-rapid-dex,Spread/Rapid Shot Archer (launch baseline),undecember,undecember,T2b,moderate,False,,,,solo,multi-spawn,instant,6-link-scaling,high,physical,0.87,,kr-trunk,,,ud-launch-2022,pt;gop,have-core,direct-hit instant verbs native,Spread Shot and Rapid Shot under Multishot links with movement-speed stacking — the kite-archer floor every beginner guide teaches; volume-o
IDHFSC-RSDG-SP-FI-~~,IDHFSC-RSDG-SP-FI-~~,,,12,3,"T1,T2b",3,1,1,True,canon,SOLO|SMALL|CHAN×GAP-P1-04,poe1-incinerate,Incinerate,poe1,poe1,T1,deep,False,,,GAP-P1-04,solo,small-AOE,channel,mana-per-tick,rooted-while-channel,fire,0.87,,,,,1.x;2.x,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,Channeled flamethrower whose damage ramps in stages the longer you hold — the founding-era sustained-channel archetype.
IDHFSC-RSDG-SP-FI-~~,IDHFSC-RSDG-SP-FI-~~,,,12,3,"T1,T2b",3,1,2,False,canon,SOLO|SMALL|CHAN×GX-21,ud-flamethrower-channel,Flamethrower Channel Caster,undecember,undecember,T2b,moderate,False,,,GX-21,solo,small-AOE,channel,channel-uptime+links,rooted-while-channel,fire,0.85,,kr-trunk,,,ud-launch-2022,gop;rulib,blocked-new,sustained-stream/channel verb + movement-tax tuning,"The channeled flame cone with 'Channeling Enhancement' links stacked into it — and the runes library carries CHANNEL as a first-class tag, m"
IDHFSC-RSDG-SP-FI-~~,IDHFSC-RSDG-SP-FI-~~,,,12,3,"T1,T2b",3,1,3,False,canon,SOLO|SMALL|CHAN×econ:spend,d4-incinerate,Incinerate Sorcerer,d4,d4,T1,negative,True,,,,solo,small-AOE,channel,mana-per-tick,rooted-while-channel,fire,0.85,,,,,launch-s1-3;loot-reborn-s4-5;voh-s6+,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,"The channel flamethrower that spent D4's whole run at the tier-list bottom — rooted, short-ranged, out-damaged by everything mobile; the sam"
DDHFSI-HMDD-SP-PH-~~,DDHFSI-HMDD-SP-PH-~~,,,12,2,T1,2,0,1,True,canon,SOLO|MULTI|INST×GX-10,le-umbral-blades,Umbral Blades Rogue,le,le,T1,moderate,False,,,GX-10 GX-03,solo,multi-spawn,instant,field-plant-recall,high,physical,0.78,,,,,1.0-launch;1.2-woven,kb,blocked-new,mark/tag ledger + consume-trigger operators,"Thrown blades that LODGE in the ground where they land, then RECALL through everything on the return leg — plant the field, harvest it on th"
DDHFSI-HMDD-SP-PH-~~,DDHFSI-HMDD-SP-PH-~~,,,12,2,T1,2,0,2,False,canon,SOLO|MULTI|INST×GX-09,poe2-spiral-volley,Spiral Volley,poe2,poe2,T1,moderate,False,,,GX-09,solo,multi-spawn,instant,unknown,high,physical,0.33,,,,,0.4;0.5-ancients,u4,designed-addendum,rotational/orbital substrate addendum — build pending,"Spear projectiles on spiraling flight paths, named among 0.4's top-tier archetype variants — helical geometry in PoE2's projectile family. S"
DRHFSI-HCDD-SP-LI-~~,DRHFSI-HCDD-SP-LI-~~,,,12,2,T1,2,0,1,True,canon,SOLO|CHAIN|INST×econ:spend,poe1-lightning-arrow,Lightning Arrow,poe1,poe1,T1,deep,False,,,,solo,chain,instant,mana-light,very-high,lightning,0.85,,,,,1.x;3.20+,el;kb,have-core,direct-hit instant verbs native,Lightning arrow splashes to nearby enemies per hit; chain+proj scaling makes it the modern mapping archetype of record.
