archive,map,complete,spawn_x,spawn_z,to_patrol_centroid_m,to_nearest_patrol_m,to_nearest_beacon_m,inside_beacon_aura
survivalmode1/resources/Maps.arc,survivalworld_a.map,True,90.60265350341797,32.898380279541016,32.8201,12.6718,18.8918,False
survivalmode1/resources/Maps.arc,survivalworld_a.map,True,74.43873596191406,66.53617858886719,7.1599,5.4388,18.9306,False
survivalmode1/resources/Maps.arc,survivalworld_a.map,True,46.813297271728516,73.95507049560547,35.758,14.1781,0.3585,True
survivalmode1/resources/Maps.arc,survivalworld_a.map,True,89.38450622558594,96.72891998291016,33.3723,12.6037,5.2027,True
survivalmode1/resources/Maps.arc,survivalworld_a.map,True,112.16465759277344,71.50782775878906,31.7202,14.4716,11.8664,False
survivalmode1/resources/Maps.arc,survivalworld_a.map,True,112.47492980957031,71.16558837890625,31.948,14.3291,12.255,False
survivalmode1/resources/Maps.arc,survivalworld_b.map,True,66.7867202758789,22.275556564331055,42.6469,25.6256,7.6506,True
survivalmode1/resources/Maps.arc,survivalworld_b.map,True,98.59077453613281,56.13180923461914,28.8103,14.3927,9.6938,False
survivalmode1/resources/Maps.arc,survivalworld_b.map,True,36.171836853027344,64.94832611083984,34.9147,17.1445,0.6243,True
survivalmode1/resources/Maps.arc,survivalworld_b.map,True,69.92962646484375,73.60706329345703,8.9766,6.2492,30.0087,False
survivalmode1/resources/Maps.arc,survivalworld_b.map,True,110.36915588378906,72.94092559814453,40.1375,25.9372,10.9542,False
survivalmode1/resources/Maps.arc,survivalworld_b.map,True,70.74921417236328,99.41815948486328,34.7146,19.6387,7.7115,True
survivalmode1/resources/Maps.arc,survivalworld_c.map,True,36.16792297363281,65.5467758178711,32.2022,12.9812,0.9476,True
survivalmode1/resources/Maps.arc,survivalworld_c.map,True,48.865447998046875,56.73896789550781,19.152,0.0,15.024,False
survivalmode1/resources/Maps.arc,survivalworld_c.map,True,94.25045776367188,31.052947998046875,38.8816,16.0413,28.0911,False
survivalmode1/resources/Maps.arc,survivalworld_c.map,True,97.1210708618164,40.80033874511719,34.8011,13.3937,20.7139,False
survivalmode1/resources/Maps.arc,survivalworld_c.map,True,53.44793701171875,95.95154571533203,39.1232,15.8022,15.8022,False
survivalmode1/resources/Maps.arc,survivalworld_c.map,True,99.5658950805664,91.5206527709961,45.0561,26.7833,10.5401,False
survivalmode1/resources/Maps.arc,survivalworld_d.map,False,36.919776916503906,44.25359344482422,40.2792,19.6361,1.2222,True
survivalmode1/resources/Maps.arc,survivalworld_e.map,True,82.39974212646484,28.946197509765625,35.9491,19.0203,17.9392,False
survivalmode1/resources/Maps.arc,survivalworld_e.map,True,64.60511016845703,59.13611602783203,6.9379,0.0,35.3892,False
survivalmode1/resources/Maps.arc,survivalworld_e.map,True,110.09895324707031,45.9272346496582,43.1005,23.8326,33.6842,False
survivalmode1/resources/Maps.arc,survivalworld_e.map,True,34.97090148925781,76.98529052734375,38.2004,20.516,0.8086,True
survivalmode1/resources/Maps.arc,survivalworld_e.map,True,82.08576202392578,88.57157897949219,28.2213,12.5174,10.2633,False
survivalmode1/resources/Maps.arc,survivalworld_e.map,True,71.36817932128906,100.19103240966797,37.3467,17.1097,7.959,True
survivalmode1/resources/Maps.arc,survivalworld_f.map,True,72.64833068847656,24.04956817626953,38.316,9.8207,3.2918,True
survivalmode1/resources/Maps.arc,survivalworld_f.map,True,19.07845115661621,70.53984832763672,44.6372,17.0926,0.7184,True
survivalmode1/resources/Maps.arc,survivalworld_f.map,True,49.77649688720703,56.14440155029297,13.8189,6.0232,33.2528,False
survivalmode1/resources/Maps.arc,survivalworld_f.map,True,90.3802719116211,49.97627639770508,29.8177,8.6045,12.6335,False
survivalmode1/resources/Maps.arc,survivalworld_f.map,True,47.33055877685547,99.74616241455078,41.6347,17.7469,7.0106,True
survivalmode1/resources/Maps.arc,survivalworld_f.map,True,87.40089416503906,77.59431457519531,29.7334,7.7993,12.9241,False
survivalmode1/resources/Maps.arc,survivalworld_g.map,True,64.80288696289062,24.967111587524414,38.9598,21.1804,9.3153,False
survivalmode1/resources/Maps.arc,survivalworld_g.map,True,40.047096252441406,95.00975799560547,38.6539,22.9226,0.7631,True
survivalmode1/resources/Maps.arc,survivalworld_g.map,True,65.29354858398438,64.95681762695312,2.5628,2.5089,29.6162,False
survivalmode1/resources/Maps.arc,survivalworld_g.map,True,103.04168701171875,64.91146087646484,40.0886,24.3547,8.1412,False
survivalmode1/resources/Maps.arc,survivalworld_g.map,True,66.56306457519531,95.9326400756836,32.2503,16.7842,9.0534,False
survivalmode1/resources/Maps.arc,survivalworld_g.map,True,91.49079895019531,88.54835510253906,37.7094,21.4422,15.8951,False
survivalmode1/resources/Maps.arc,survivalworld_j.map,True,91.02937316894531,33.9228630065918,42.4343,17.6052,13.1077,False
survivalmode1/resources/Maps.arc,survivalworld_j.map,True,109.59186553955078,56.93435287475586,46.3362,20.2916,9.0936,False
survivalmode1/resources/Maps.arc,survivalworld_j.map,True,43.3364143371582,104.18826293945312,42.7847,21.4053,1.0252,True
survivalmode1/resources/Maps.arc,survivalworld_j.map,True,77.49915313720703,67.10677337646484,13.157,9.2271,26.9191,False
survivalmode1/resources/Maps.arc,survivalworld_j.map,True,68.66853332519531,106.1615219116211,39.4833,16.0646,12.7687,False
survivalmode1/resources/Maps.arc,survivalworld_j.map,True,106.14720153808594,88.32234191894531,46.9658,26.0715,9.5986,False
survivalmode2/resources/Maps.arc,survivalworld_h.map,True,71.29478454589844,13.968154907226562,47.3352,32.9965,16.9376,False
survivalmode2/resources/Maps.arc,survivalworld_h.map,True,72.07087707519531,77.91899871826172,17.1542,11.6066,6.5979,True
survivalmode2/resources/Maps.arc,survivalworld_h.map,True,115.79369354248047,58.25762939453125,47.6674,26.8965,14.3118,False
