record,archive,class,monster_classification,display_name,level,characterRunSpeed,characterRunSpeedModifier,characterRunSpeedMaxModifier,characterRunSpeedJitter,walkSpeed,pathMass,pathingSize,maxRotationSpeed,minRotationSpeed,avoidForce,chain_perm_speed_terms,chain_transient_speed_terms,chain_size
records/creatures/anomalies/aetheranomaly_01_summon.dbr,GDX1.arz,Monster,Common,Whirlwind,105,0.36000001430511475,0.0,,0.0,1.0,2.0,Small,3.0,2.0,0.5,0,0,6
records/creatures/anomalies/chthonicvoid_groble.dbr,GDX3.arz,Monster,Common,Entropic Void,104,0.27000001072883606,0.0,,0.0,1.0,2.0,Small,3.0,2.0,0.5,0,0,6
records/creatures/anomalies/eldritchground.dbr,GDX2.arz,Monster,Common,Entropic Void,105,0.27000001072883606,0.0,,0.0,1.0,2.0,Small,3.0,2.0,0.5,0,0,7
records/creatures/anomalies/sandstorm.dbr,GDX2.arz,Monster,Common,Entropic Void,104,0.27000001072883606,0.0,,0.0,1.0,2.0,Small,3.0,2.0,0.5,0,0,6
records/creatures/enemies/aetherialbloater_a01.dbr,SurvivalMode1.arz,Monster,Common,Aetherial Bloater,103,1.100000023841858,0.0,,10.0,1.0,1.0,Medium,8.0,4.0,0.5,0,1,8
records/creatures/enemies/aetherialbloater_b01.dbr,SurvivalMode1.arz,Monster,Champion,Aetherial Bileeater,104,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,3,10
records/creatures/enemies/aetherialbloater_b01_summon.dbr,SurvivalMode1.arz,Monster,Champion,Aetherial Bileeater,104,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,3,10
records/creatures/enemies/aetherialbloater_c01.dbr,SurvivalMode1.arz,Monster,Champion,Aetherial Regurgitator,104,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,0,10
records/creatures/enemies/aetherialbloater_c01_summon.dbr,SurvivalMode1.arz,Monster,Champion,Aetherial Regurgitator,106,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,0,10
records/creatures/enemies/aetherialcolossus_a01.dbr,SurvivalMode1.arz,Monster,Champion,Aetherial Behemoth,104,1.100000023841858,0.0,,10.0,1.0,1.0,Medium,8.0,4.0,0.5,0,1,10
records/creatures/enemies/aetherialcolossus_b01.dbr,SurvivalMode1.arz,Monster,Champion,Aetherial Colossus,105,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,1,11
records/creatures/enemies/aetherialcolossus_c01.dbr,SurvivalMode1.arz,Monster,Champion,Aetherial Titan,105,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,1,12
records/creatures/enemies/aetherialcolossus_c02.dbr,SurvivalMode1.arz,Monster,Champion,Lightning,105,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,1,12
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,SurvivalMode1.arz,Monster,Champion,Lightning,106,0.8999999761581421,0.0,,25.0,1.0,1.0,Medium,8.0,4.0,0.5,0,1,12
records/creatures/enemies/aetherialcorruption_a01.dbr,SurvivalMode1.arz,Monster,Common,Fleshwarped Corruption,102,1.149999976158142,0.0,,15.0,0.800000011920929,1.0,Small,9.0,4.0,0.5,0,0,7
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,SurvivalMode1.arz,Monster,Common,Fleshwarped Corruption,103,1.149999976158142,0.0,,15.0,0.800000011920929,1.0,Small,9.0,4.0,0.5,0,0,7
records/creatures/enemies/aetherialcorruption_b01.dbr,SurvivalMode1.arz,Monster,Champion,Cold,103,1.149999976158142,0.0,,15.0,0.800000011920929,1.0,Small,9.0,4.0,0.5,0,0,8
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,SurvivalMode1.arz,Monster,Champion,Cold,104,1.149999976158142,0.0,,15.0,0.800000011920929,1.0,Small,9.0,4.0,0.5,0,0,8
