archive,map,dbr,x,y,z,guid,record_size
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/fx/lights/light_firelanternflame_green01_noshadow.dbr,112.4272689819336,7.38447380065918,71.23889923095703,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_long03.dbr,125.65387725830078,10.900814056396484,71.23494720458984,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large05_nofade.dbr,78.89515686035156,7.794878959655762,70.3864517211914,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/fx/lights/light_ugambientlowbluea01.dbr,61.4859619140625,8.631765365600586,35.81607437133789,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/fx/lights/light_ugambientlowbluea01.dbr,68.84521484375,13.956153869628906,54.84395980834961,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large05.dbr,58.50334167480469,13.965696334838867,74.5948486328125,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmite_large03.dbr,66.24934387207031,8.695030212402344,5.5025634765625,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_long03.dbr,65.75389099121094,11.014389991760254,40.16165542602539,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/fx/lights/light_ugambientlowbluea01.dbr,63.04864501953125,4.568192005157471,102.14102172851562,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_long01.dbr,82.18984985351562,13.654369354248047,75.10142517089844,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large04_nofade.dbr,21.0461368560791,3.8878021240234375,69.78526306152344,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/fx/ambient/fx_waterfallbase_lrg01.dbr,66.34221649169922,7.964735984802246,41.646888732910156,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/triggervolumes/treasureroom_cleanup.dbr,9.566418647766113,3.7120885848999023,28.99856948852539,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmite_large04.dbr,38.80405044555664,11.561798095703125,27.860876083374023,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmite_large02.dbr,57.62739562988281,16.95275115966797,-2.8952789306640625,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_sloped01.dbr,60.886375427246094,10.446609497070312,34.466392517089844,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large05_nofade.dbr,29.795284271240234,3.8802433013916016,65.69019317626953,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_curved02.dbr,33.477943420410156,10.491345405578613,4.81718635559082,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_long01.dbr,3.6446533203125,4.056387901306152,34.870487213134766,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmite_large05.dbr,30.700719833374023,12.9824857711792,4.852052688598633,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large04.dbr,41.23851013183594,11.160781860351562,34.94721984863281,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmite_large05.dbr,36.11683654785156,10.651588439941406,38.1532096862793,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large05.dbr,33.20669174194336,4.630891799926758,41.694976806640625,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large05.dbr,17.601308822631836,8.76120376586914,39.787017822265625,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitetop_large05.dbr,26.473119735717773,3.034170150756836,47.824684143066406,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_long03.dbr,26.750478744506836,10.107171058654785,41.691558837890625,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/level art/undergrounds/natural/stalagmitecluster_curved02.dbr,26.752981185913086,11.110513687133789,37.56414031982422,,56
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/fx/lights/light_ugambientlowbluea01.dbr,32.43010330200195,12.942015647888184,33.481197357177734,,56
