barbarian/ancient-spear	200	5651637	Fri, 24 Feb 2012 01:10:31 GMT
barbarian/bash	404	10	
barbarian/battle-rage	404	10	
barbarian/call-of-the-ancients	200	10049814	Mon, 12 Mar 2012 17:52:23 GMT
barbarian/cleave	200	9521760	Thu, 19 Jul 2012 20:56:30 GMT
barbarian/earthquake	200	6339386	Fri, 24 Feb 2012 01:10:35 GMT
barbarian/frenzy	404	10	
barbarian/furious-charge	200	6004529	Fri, 24 Feb 2012 01:10:32 GMT
barbarian/ground-stomp	200	5605276	Fri, 27 Jul 2012 22:22:13 GMT
barbarian/hammer-of-the-ancients	200	8308657	Wed, 25 Apr 2012 19:00:11 GMT
barbarian/ignore-pain	404	10	
barbarian/leap	200	6225658	Thu, 19 Jul 2012 20:56:29 GMT
barbarian/overpower	200	4428977	Fri, 24 Feb 2012 01:10:29 GMT
barbarian/rend	404	10	
barbarian/revenge	404	10	
barbarian/seismic-slam	200	8165864	Mon, 12 Mar 2012 17:52:23 GMT
barbarian/sprint	404	10	
barbarian/threatening-shout	404	10	
barbarian/war-cry	200	7274371	Wed, 25 Apr 2012 19:00:11 GMT
barbarian/weapon-throw	404	10	
barbarian/whirlwind	200	6872672	Mon, 26 Mar 2012 20:27:46 GMT
barbarian/wrath-of-the-berserker	200	11282824	Wed, 25 Apr 2012 19:00:13 GMT
demon-hunter/bola-shot	200	6496075	Fri, 27 Jul 2012 22:22:15 GMT
demon-hunter/caltrops	404	10	
demon-hunter/chakram	200	9559786	Wed, 25 Apr 2012 19:00:15 GMT
demon-hunter/cluster-arrow	200	6430341	Fri, 24 Feb 2012 01:10:36 GMT
demon-hunter/companion	200	9266565	Mon, 12 Mar 2012 17:52:27 GMT
demon-hunter/elemental-arrow	404	10	
demon-hunter/entangling-shot	200	9337190	Thu, 19 Jul 2012 20:55:53 GMT
demon-hunter/evasive-fire	200	7575342	Mon, 12 Mar 2012 17:52:26 GMT
demon-hunter/fan-of-knives	200	9354799	Mon, 26 Mar 2012 20:27:47 GMT
demon-hunter/grenades	200	4356810	Fri, 27 Jul 2012 22:22:13 GMT
demon-hunter/hungering-arrow	404	10	
demon-hunter/impale	404	10	
demon-hunter/marked-for-death	404	10	
demon-hunter/multishot	200	6921841	Fri, 24 Feb 2012 01:10:31 GMT
demon-hunter/preparation	404	10	
demon-hunter/rain-of-vengeance	200	8453104	Fri, 24 Feb 2012 01:10:36 GMT
demon-hunter/rapid-fire	200	8114627	Mon, 12 Mar 2012 17:52:29 GMT
demon-hunter/sentry	200	9502913	Mon, 26 Mar 2012 20:27:50 GMT
demon-hunter/shadow-power	404	10	
demon-hunter/smoke-screen	404	10	
demon-hunter/spike-trap	200	8247001	Fri, 24 Feb 2012 01:10:36 GMT
demon-hunter/strafe	200	9121069	Wed, 25 Apr 2012 19:00:14 GMT
demon-hunter/vault	404	10	
monk/blinding-flash	404	10	
monk/breath-of-heaven	404	10	
monk/crippling-wave	200	11504035	Mon, 12 Mar 2012 17:52:32 GMT
monk/cyclone-strike	200	4175267	Fri, 27 Jul 2012 22:22:16 GMT
monk/dashing-strike	200	6973629	Fri, 27 Jul 2012 22:22:18 GMT
monk/deadly-reach	404	10	
monk/exploding-palm	404	10	
monk/fists-of-thunder	404	10	
monk/inner-sanctuary	200	7600604	Mon, 12 Mar 2012 17:52:32 GMT
monk/lashing-tail-kick	200	8879646	Thu, 19 Jul 2012 20:54:33 GMT
monk/mantra-of-conviction	200	4919972	Fri, 24 Feb 2012 01:10:39 GMT
monk/mantra-of-evasion	404	10	
monk/mystic-ally	200	5459176	Fri, 24 Feb 2012 01:10:47 GMT
monk/serenity	200	7053114	Fri, 24 Feb 2012 01:10:48 GMT
monk/seven-sided-strike	404	10	
monk/sweeping-wind	200	8672384	Wed, 25 Apr 2012 19:00:18 GMT
monk/tempest-rush	200	9688043	Mon, 26 Mar 2012 20:27:47 GMT
monk/wave-of-light	200	8044471	Mon, 12 Mar 2012 17:52:35 GMT
monk/way-of-the-hundred-fists	200	9343512	Mon, 26 Mar 2012 20:27:49 GMT
witch-doctor/acid-cloud	200	5614948	Fri, 24 Feb 2012 01:11:12 GMT
witch-doctor/big-bad-voodoo	200	7071743	Fri, 24 Feb 2012 01:11:10 GMT
witch-doctor/corpse-spiders	404	10	
witch-doctor/fetish-army	200	9848648	Mon, 26 Mar 2012 20:27:51 GMT
witch-doctor/firebats	404	10	
witch-doctor/firebomb	404	10	
witch-doctor/gargantuan	200	9237450	Wed, 25 Apr 2012 19:00:21 GMT
witch-doctor/grasp-of-the-dead	404	10	
witch-doctor/haunt	404	10	
witch-doctor/hex	404	10	
witch-doctor/horrify	404	10	
witch-doctor/locust-swarm	200	9302063	Mon, 26 Mar 2012 20:27:49 GMT
witch-doctor/mass-confusion	200	9118053	Mon, 26 Mar 2012 20:27:50 GMT
witch-doctor/plague-of-toads	200	5730464	Fri, 27 Jul 2012 22:22:22 GMT
witch-doctor/poison-dart	404	10	
witch-doctor/sacrifice	200	9643162	Mon, 12 Mar 2012 17:52:41 GMT
