1	mixed_cross_cultural	Cross-Cultural Contemporary Mixed-Form Pool
2	mixed_cross_cultural	Cross-Cultural Contemporary Pistol Pool
3	named_template_family	Fantasy-Generic Fictional Battleaxe Named-Item Family
4	mixed_cross_cultural	European-Tagged Contemporary Knife Pool (Mixed)
5	weapon_family	Fantasy-Generic Fictional Club Family
6	weapon_family	Fantasy-Generic Fictional Dagger Family
7	named_template_family	Fantasy-Generic Fictional Wand Named-Item Family
8	named_template_family	Fantasy-Generic Fictional Shield Named-Item Family
9	named_template_family	Fantasy-Generic Fictional Revolver Named-Item Family
10	named_template_family	Fantasy-Generic Fictional Javelin Named-Item Family
11	named_template_family	Fantasy-Generic Fictional Javelin Named-Item Family
12	weapon_family	Fantasy-Generic Fictional Shortsword Family
13	named_template_family	Fantasy-Generic Fictional Dagger Named-Item Family
14	named_template_family	Fantasy-Generic Fictional Wand Named-Item Family
15	named_template_family	Fantasy-Generic Fictional Pistol Named-Item Family
16	named_template_family	Fantasy-Generic Fictional Starknife Named-Item Family
17	named_template_family	Fantasy-Generic Fictional Shortsword Named-Item Family
18	named_template_family	Fantasy-Generic Fictional Greatsword Named-Item Family
19	named_template_family	Fantasy-Generic Fictional Longsword Named-Item Family
20	weapon_family	East Asian Early-Modern Wakizashi Family
21	weapon_family	European Industrial Sword Family
22	mixed_cross_cultural	Cross-Cultural Contemporary Hafted/Edged Pool
23	weapon_family	East Asian Traditional Polearm/Blade Pool
24	modern_military_hardware_pool	Arctic/Northern Contemporary Heavy Weapon Systems
25	weapon_family	Fantasy-Generic Classical Pike Family
26	named_template_family	Fantasy-Generic Fictional Hook-Sword Named-Item Family
27	named_template_family	Fantasy-Generic Fictional Staff Named-Item Family
28	weapon_family	Fantasy-Generic Fictional Spear Family
29	named_template_family	Fantasy-Generic Fictional Staff Named-Item Family
30	named_template_family	Fantasy-Generic Fictional Crossbow Named-Item Family
31	mixed_cross_cultural	South Asian Contemporary Mixed-Form Pool
32	modern_military_hardware_pool	Southeast Asian Contemporary Heavy Munitions Pool
33	mixed_cross_cultural	Cross-Cultural Contemporary Rifle Pool
34	weapon_family	Fantasy-Generic Fictional Sword Family
35	named_template_family	Fantasy-Generic Fictional Mixed Named-Item Pool
36	named_template_family	Fantasy-Generic Fictional Halberd Named-Item Family
37	named_template_family	Fantasy-Generic Fictional Glaive Named-Item Family
38	weapon_family	Fantasy-Generic Fictional Staff Family
39	named_template_family	Fantasy-Generic Fictional Mixed Named-Item Pool
40	named_template_family	Fantasy-Generic Fictional Mixed Named-Item Pool
41	named_template_family	Fantasy-Generic Fictional Scimitar Named-Item Family
42	named_template_family	Fantasy-Generic Fictional Crossbow Named-Item Family
43	named_template_family	Fantasy-Generic Fictional Handaxe Named-Item Family
44	named_template_family	Fantasy-Generic Fictional Lance Named-Item Family
45	modern_military_hardware_pool	African Contemporary Military Vehicles + Munitions Pool
46	named_template_family	Fantasy-Generic Fictional Flail Named-Item Family
47	named_template_family	Fantasy-Generic Fictional Rapier Named-Item Family
48	mixed_cross_cultural	European-Tagged Fictional Scimitar Pool (Mixed)
49	named_template_family	Fantasy-Generic Fictional Rifle Named-Item Family
50	named_template_family	Fantasy-Generic Fictional Rifle Named-Item Family
51	mixed_form_pool	European Contemporary Two-Hand Mixed Pool (Mil-Modern + Reproduction Blade)
52	named_template_family	Fantasy-Generic Fictional Mace Named-Item Family
53	named_template_family	Fantasy-Generic "Chicken Chucker / Arrow" Named-Item Family
54	weapon_family	Fantasy-Generic Fictional Bow Family
55	weapon_family	Fantasy-Generic Fictional Axe Family
56	named_template_family	Fantasy-Generic Fictional Mixed Named-Item Pool
57	named_template_family	Fantasy-Generic Fictional Axe Named-Item Family
58	named_template_family	Fantasy-Generic Fictional Mace Named-Item Family
59	mixed_cross_cultural	East Asian-Tagged Industrial Pistol Pool (Mixed)
60	named_template_family	Fantasy-Generic Fictional Mixed Named-Item Pool
61	named_template_family	Fantasy-Generic Fictional Longbow Named-Item Family
62	named_template_family	Fantasy-Generic Fictional Spear Named-Item Family
63	named_template_family	Fantasy-Generic "Abyssal Bane" Named-Template Mega-Family
64	mixed_form_pool	European Industrial Decorative/Mixed-Form Pool
65	named_template_family	Fantasy-Generic Fictional Musket Named-Item Family
66	named_template_family	Fantasy-Generic Fictional Mixed Named-Item Pool
67	weapon_family	Untyped-Lineage Ceremonial-Shield Pool
68	weapon_family	European Modern Sword-Adjacent Component Pool
69	mixed_cross_cultural	Cross-Cultural Contemporary Mixed-Munitions Pool
70	weapon_family	European Contemporary Assault-Rifle Pool
71	mixed_cross_cultural	European-Tagged Contemporary Spear Pool (Mixed)
72	modern_military_hardware_pool	Middle Eastern Contemporary UAV/Drone Pool
73	weapon_family	European Industrial Pistol Family
74	weapon_family	European Early-Modern Pistol Family
75	mixed_cross_cultural	Southeast Asian Early-Modern Dagger Pool (Mixed)
76	weapon_family	South Asian Early-Modern Dagger Family
77	weapon_family	European Early-Modern Sword Family
78	mixed_form_pool	Untyped-Lineage Early-Firearm/Shield Mixed Pool
79	mixed_form_pool	European Early-Modern Mixed Edged/Hafted Pool
80	weapon_family	European Modern Pistol Family
81	weapon_family	Southeast Asian Early-Modern Knife Family
82	weapon_family	East Asian Contemporary Rifle Family
83	mixed_cross_cultural	Southeast Asian-Tagged Contemporary Mixed-Form Pool
84	weapon_family	South Asian Contemporary Sword Family
85	weapon_family	European Contemporary Spear Family
86	weapon_family	African Contemporary Musket Family
87	rare_lineage_isolate	S. American Indigenous Contemporary Shotgun Cluster
88	mixed_form_pool	Untyped-Lineage Fantasy/Modern Improvised Pool
89	weapon_family	European Contemporary Rifle Family
90	weapon_family	Middle Eastern Contemporary Spear Family
91	metadata_bucket	East Asian Uncurated-Period Metadata Pool
92	mixed_cross_cultural	South Asian-Tagged Early-Modern Mixed-Form Pool
93	mixed_form_pool	Untyped-Lineage Early-Modern Mixed Pool
94	weapon_family	East Asian Early-Modern Musket Family
95	weapon_family	European Early-Modern Sabre Family
96	weapon_family	European Early-Modern Spear Family
97	mixed_cross_cultural	European-Tagged Early-Modern Halberd Pool (Mixed)
98	weapon_family	East Asian Classical Sword Family
99	mixed_cross_cultural	South Asian-Tagged Industrial Mixed-Form Pool
100	weapon_family	European Early-Modern Musket Family
101	mixed_cross_cultural	African-Tagged Classical Bow Pool (Mixed)
102	mixed_form_pool	Untyped-Lineage Industrial Catalog-Residue Pool
103	weapon_family	European Industrial Shotgun Family
104	weapon_family	African Uncurated-Period Mace Family
105	weapon_family	East Asian Modern Rifle Family
106	mixed_cross_cultural	European-Tagged Classical Sword Pool (Mixed)
107	weapon_family	European Classical Sword Family
108	weapon_family	European Industrial Rifle Family
109	mixed_form_pool	Untyped-Lineage Classical Catalog-Residue Pool
110	weapon_family	Middle Eastern Classical Halberd Family
111	weapon_family	East Asian Industrial Spear Family
112	mixed_cross_cultural	European-Tagged Modern Shotgun Pool (Mixed)
113	weapon_family	European Modern Rifle Family
114	weapon_family	Middle Eastern Uncurated-Period Spear Family
115	rare_lineage_isolate	S. American Indigenous Modern Pool (Mixed)
116	weapon_family	European Uncurated-Period Spear Family
117	weapon_family	Southeast Asian Uncurated-Period Sabre Family
118	weapon_family	South Asian Uncurated-Period Musket Family
119	weapon_family	European Industrial Spear Family
120	mixed_form_pool	Untyped-Lineage Mixed Mythical/Fantasy/Modern Pool
121	weapon_family	Southeast Asian Modern Musket Family
122	weapon_family	African Industrial Sword Family
123	weapon_family	European Modern Rifle Family
124	weapon_family	Middle Eastern Modern Spear Family
125	weapon_family	Middle Eastern Medieval Rifle Family
