controller,n_monsters,minSwingPause_s,maxSwingPause_s,min_ms,max_ms
records/controllers/enemy/controller_aetherialcorruption.dbr,9,0.5,1.100000023841858,500,1100
records/controllers/enemy/controller_swampcrab_melee.dbr,8,0.30000001192092896,0.699999988079071,300,699
records/controllers/enemy/controller_wendigo.dbr,8,0.20000000298023224,0.6000000238418579,200,600
records/controllers/enemy/controller_basilisk_melee.dbr,6,0.6499999761581421,1.2000000476837158,649,1200
records/controllers/enemy/controller_aetherialbloater.dbr,5,0.0,0.30000001192092896,0,300
records/controllers/enemy/controller_chthonicrylok.dbr,5,0.4000000059604645,0.6000000238418579,400,600
records/controllers/enemy/controller_swampgolem.dbr,5,0.5,1.0,500,1000
records/controllers/enemy/controller_ghost_meleechampion.dbr,5,0.6499999761581421,1.2999999523162842,649,1299
records/controllers/enemy/controller_aetherialcolossus.dbr,4,0.0,0.30000001192092896,0,300
records/controllers/enemy/controller_chthonianservitor.dbr,4,0.5,1.2000000476837158,500,1200
records/controllers/enemy/controller_giant.dbr,4,0.5,1.0,500,1000
records/controllers/enemy/controller_rhino.dbr,4,0.20000000298023224,0.6000000238418579,200,600
records/controllers/enemy/controller_sandlizard.dbr,4,0.20000000298023224,0.6000000238418579,200,600
records/controllers/enemy/controller_avian.dbr,3,0.0,0.30000001192092896,0,300
records/controllers/enemy/controller_meleetank.dbr,3,0.5,1.0,500,1000
records/controllers/enemy/controller_yeti.dbr,3,0.30000001192092896,0.800000011920929,300,800
records/controllers/enemy/controller_chthoniandevourer.dbr,3,0.0,0.6000000238418579,0,600
records/controllers/enemy/controller_chthonicherald.dbr,3,0.800000011920929,1.2000000476837158,800,1200
records/controllers/enemy/controller_zombiemutanta01.dbr,3,0.5,1.100000023841858,500,1100
records/controllers/enemy/controller_dranghoul2.dbr,3,0.5,0.8999999761581421,500,899
records/controllers/enemy/controller_aetherialimp.dbr,3,0.20000000298023224,0.5,200,500
records/controllers/enemy/controller_gargoyle.dbr,3,0.4000000059604645,0.6000000238418579,400,600
records/controllers/enemy/controller_thornedhorror.dbr,3,0.20000000298023224,0.6000000238418579,200,600
records/controllers/enemy/controller_cannibal.dbr,3,0.20000000298023224,0.5,200,500
records/controllers/enemy/controller_boss_aetherialroguelike_reanimators.dbr,2,1.0,1.2000000476837158,1000,1200
records/controllers/enemy/controller_humanchthonic_bosscaster.dbr,2,0.5,0.800000011920929,500,800
records/controllers/enemy/controller_skeletoncaster01.dbr,2,1.0,1.7999999523162842,1000,1799
records/controllers/enemy/controller_dranghoulcaster.dbr,2,1.0,1.2000000476837158,1000,1200
records/controllers/enemy/controller_eldritcharmor_meleebasic.dbr,2,0.550000011920929,1.2000000476837158,550,1200
records/controllers/enemy/controller_ghost_meleebasic.dbr,2,0.6499999761581421,1.2000000476837158,649,1200
records/controllers/enemy/controller_humanascended_rangedcaster.dbr,2,0.949999988079071,1.7999999523162842,949,1799
records/controllers/enemy/controller_hypporaven.dbr,2,0.20000000298023224,0.6000000238418579,200,600
records/controllers/enemy/controller_viper_melee.dbr,2,,,,
records/controllers/enemy/controller_cultwendigo_meleebasic.dbr,2,0.6499999761581421,1.2000000476837158,649,1200
records/controllers/enemy/controller_cultwendigo_rangedcaster.dbr,2,1.0499999523162842,1.600000023841858,1049,1600
records/controllers/enemy/controller_wraith.dbr,2,0.4000000059604645,1.0,400,1000
records/controllers/enemy/controller_basilisk_ranged.dbr,1,1.0499999523162842,1.600000023841858,1049,1600
records/controllers/enemy/controller_boss_aetherialabomination.dbr,1,,0.5,,500
records/controllers/enemy/controller_boss_basiliskwitchritual.dbr,1,0.5,0.699999988079071,500,699
records/controllers/enemy/controller_chthonicminiona01.dbr,1,0.4000000059604645,0.6000000238418579,400,600
records/controllers/enemy/controller_boss_dermapteranqueen_02.dbr,1,0.30000001192092896,0.30000001192092896,300,300
records/controllers/enemy/controller_boss_dravis.dbr,1,0.5,0.800000011920929,500,800
records/controllers/enemy/controller_boss_mindreaper_01.dbr,1,0.550000011920929,1.2000000476837158,550,1200
records/controllers/enemy/controller_boss_alkamos.dbr,1,0.30000001192092896,0.800000011920929,300,800
records/controllers/enemy/controller_kurnchthonic_shamanboss.dbr,1,0.800000011920929,1.600000023841858,800,1600
records/controllers/enemy/controller_humanpossessed_rangedcaster.dbr,1,0.949999988079071,1.7999999523162842,949,1799
records/controllers/enemy/controller_boss_cultwendigo.dbr,1,1.2999999523162842,1.899999976158142,1299,1899
records/controllers/enemy/controller_boss_korvaaklieutenant.dbr,1,0.550000011920929,1.2000000476837158,550,1200
records/controllers/enemy/controller_boss_korvaak.dbr,1,0.30000001192092896,0.30000001192092896,300,300
records/controllers/enemy/controller_boss_themessenger.dbr,1,0.4000000059604645,0.6000000238418579,400,600
records/controllers/enemy/controller_boss_tombguardian.dbr,1,0.5,1.0,500,1000
records/controllers/enemy/controller_boss_outcast.dbr,1,0.30000001192092896,0.5,300,500
records/controllers/enemy/controller_boss_witch.dbr,1,0.5,0.800000011920929,500,800
records/controllers/enemy/controller_boss_witchgodguardian_temple.dbr,1,0.10000000149011612,0.30000001192092896,100,300
records/controllers/enemy/controller_zealot_meleebasic.dbr,1,0.6499999761581421,1.2000000476837158,649,1200
records/controllers/enemy/controller_harpymelee01.dbr,1,0.4000000059604645,0.8999999761581421,400,899
records/controllers/enemy/controller_humanchthonic_rangedcaster.dbr,1,1.0499999523162842,1.600000023841858,1049,1600
records/controllers/enemy/controller_fleshhulk.dbr,1,0.0,0.30000001192092896,0,300
