record,wave,monster_armor,monster_absorption_pct,applied_physonly_LO,applied_fullvector_LO,applied_physonly_HI,applied_fullvector_HI,dot_bleed_per_s_applied,ehp_lo,ehp_hi,ticks_to_kill_physonly_LO,ticks_to_kill_fullvector_LO,ticks_to_kill_physonly_HI,ticks_to_kill_fullvector_HI
records/creatures/enemies/ghost_a01.dbr,151,407.0,70.0,39933.612,40076.212,54718.012,54907.532,0.0,78385.0,80012.0,1.9628827965774795,1.955898426727556,1.4325264594773655,1.4275819208191693
records/creatures/enemies/ghost_a02.dbr,151,407.0,70.0,39933.612,40076.212,54718.012,54907.532,0.0,78385.0,80012.0,1.9628827965774795,1.955898426727556,1.4325264594773655,1.4275819208191693
records/creatures/enemies/ghost_b01.dbr,151,612.0,70.0,39801.592,39944.191999999995,54585.992,54775.511999999995,0.0,168177.0,171154.0,4.225383748469157,4.210299209457035,3.0809552751189355,3.0702953538800335
records/creatures/enemies/ghost_b02.dbr,151,612.0,70.0,39801.592,39944.191999999995,54585.992,54775.511999999995,0.0,168177.0,171154.0,4.225383748469157,4.210299209457035,3.0809552751189355,3.0702953538800335
records/creatures/enemies/ghost_b03.dbr,151,915.0,70.0,39606.46,39749.06,54390.86,54580.38,0.0,169611.0,173091.0,4.282407465852793,4.267044302431303,3.1183731972614517,3.107545238783607
records/creatures/enemies/ghost_b04.dbr,151,933.0,70.0,39594.868,39737.468,54379.268000000004,54568.788,0.0,173091.0,176611.0,4.371551383881365,4.355863841148611,3.1830329161473814,3.171978091212141
records/creatures/enemies/hero/swampgolem_h01.dbr,151,1308.0,70.0,29942.78,30074.53,41191.78,41366.88,7039.0,569330.0,582590.0,19.01393257406293,18.930636655003422,13.821446900328173,13.762942721326821
records/creatures/enemies/hero/swampgolem_h02.dbr,151,1308.0,70.0,29942.78,30074.53,41191.78,41366.88,7039.0,442747.0,453064.0,14.78643599558892,14.72165982311278,10.74843087625735,10.70293432813884
records/creatures/enemies/hero/swampgolem_h05.dbr,151,1308.0,70.0,29942.78,30074.53,41191.78,41366.88,7039.0,569330.0,582590.0,19.01393257406293,18.930636655003422,13.821446900328173,13.762942721326821
records/creatures/enemies/hero/wendigo_h01.dbr,151,1308.0,70.0,36359.090000000004,36514.090000000004,50018.59,50224.59,7039.0,569330.0,582590.0,15.658532708051823,15.592063228194922,11.382368035564378,11.335682381877085
records/creatures/enemies/hero/wendigo_h04.dbr,151,1308.0,70.0,36359.090000000004,36514.090000000004,50018.59,50224.59,7039.0,569330.0,582590.0,15.658532708051823,15.592063228194922,11.382368035564378,11.335682381877085
records/creatures/enemies/livingplant_a01.dbr,151,915.0,70.0,43050.5,43205.5,59120.5,59326.5,3519.5,272948.0,278543.0,6.340181879420681,6.317436437490597,4.616808044586903,4.600777055784515
records/creatures/enemies/swampgolem_a01.dbr,151,915.0,70.0,34440.4,34572.15,47296.4,47471.5,7039.0,407372.0,435219.0,11.82831790571538,11.783241713344411,8.613171404166067,8.581401472462424
