pool_record,pool_archive_winner,pool_archive_csv,pool_template,family,slot_index,member_record,weight,weight_state,limit,limit_state,min_player_level,min_player_level_state,max_player_level,max_player_level_state,always_spawn,always_spawn_state,level_variance_equation,level_variance_equation_state,spawn_min,spawn_max,champion_min,champion_max,champion_chance,proxy_pool_equation,ignore_game_balance,slot_weight_share,family_weight_total,waves_referencing,pool_kinds
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,1,records/creatures/enemies/chthoniandevourer_a01.dbr,100,PRESENT,,ABSENT,,ABSENT,,ABSENT,,ABSENT,records/proxies/lv2_normal.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.153846,650,150,trash
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,2,records/creatures/enemies/chthoniandevourer_b01.dbr,75,PRESENT,4,PRESENT,12,PRESENT,,ABSENT,,ABSENT,records/proxies/lv3_strong+.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.115385,650,150,trash
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,3,records/creatures/enemies/chthoniandevourer_b02.dbr,75,PRESENT,4,PRESENT,12,PRESENT,,ABSENT,,ABSENT,records/proxies/lv3_strong+.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.115385,650,150,trash
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,4,records/creatures/enemies/chthonianfiend_a01.dbr,100,PRESENT,,ABSENT,4,PRESENT,,ABSENT,,ABSENT,records/proxies/lv2_normal.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.153846,650,150,trash
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,5,records/creatures/enemies/chthonianfiend_a02.dbr,100,PRESENT,,ABSENT,4,PRESENT,,ABSENT,,ABSENT,records/proxies/lv2_normal.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.153846,650,150,trash
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,6,records/creatures/enemies/chthonianfiend_c01.dbr,75,PRESENT,3,PRESENT,25,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.115385,650,150,trash
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,7,records/creatures/enemies/chthonianminion_a01.dbr,75,PRESENT,2,PRESENT,25,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.115385,650,150,trash
records/proxies/poolsbasic/chthonian_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,8,records/creatures/enemies/chthonianminion_b01.dbr,50,PRESENT,2,PRESENT,35,PRESENT,,ABSENT,,ABSENT,records/proxies/lv5_elitechampion.dbr,PRESENT,7,7,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.076923,650,150,trash
records/proxies/poolsbasic/chthoniandevourer_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,1,records/creatures/enemies/chthoniandevourer_a01.dbr,100,PRESENT,,ABSENT,,ABSENT,,ABSENT,,ABSENT,records/proxies/lv2_normal.dbr,PRESENT,9,11,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.400000,250,158,trash
records/proxies/poolsbasic/chthoniandevourer_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,2,records/creatures/enemies/chthoniandevourer_b01.dbr,75,PRESENT,4,PRESENT,12,PRESENT,,ABSENT,,ABSENT,records/proxies/lv3_strong+.dbr,PRESENT,9,11,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.300000,250,158,trash
records/proxies/poolsbasic/chthoniandevourer_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,3,records/creatures/enemies/chthoniandevourer_b02.dbr,75,PRESENT,4,PRESENT,12,PRESENT,,ABSENT,,ABSENT,records/proxies/lv3_strong+.dbr,PRESENT,9,11,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.300000,250,158,trash
records/proxies/poolsbasic/chthonianleech_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,1,records/creatures/enemies/chthonianleech_a01.dbr,100,PRESENT,,ABSENT,25,PRESENT,,ABSENT,,ABSENT,records/proxies/lv3_strong.dbr,PRESENT,6,6,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.400000,250,157,trash
records/proxies/poolsbasic/chthonianleech_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,2,records/creatures/enemies/chthonianleech_b01.dbr,75,PRESENT,4,PRESENT,30,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,6,6,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.300000,250,157,trash
records/proxies/poolsbasic/chthonianleech_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,3,records/creatures/enemies/chthonianleech_b02.dbr,75,PRESENT,4,PRESENT,30,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,6,6,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.300000,250,157,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,1,records/creatures/enemies/chthoniandreadguard_a01.dbr,100,PRESENT,,ABSENT,30,PRESENT,,ABSENT,,ABSENT,records/proxies/lv3_strong.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.126582,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,2,records/creatures/enemies/chthoniandreadguard_b01.dbr,75,PRESENT,4,PRESENT,35,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.094937,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,3,records/creatures/enemies/chthoniandreadguard_c01.dbr,50,PRESENT,2,PRESENT,45,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.063291,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,4,records/creatures/enemies/chthoniandreadguard_c02.dbr,50,PRESENT,2,PRESENT,45,PRESENT,,ABSENT,,ABSENT,records/proxies/lv5_elitechampion.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.063291,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,5,records/creatures/enemies/chthoniandreadguard_d01_summon.dbr,15,PRESENT,1,PRESENT,60,PRESENT,,ABSENT,,ABSENT,records/proxies/lv6_hero.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.018987,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,6,records/creatures/enemies/chthonianleech_a01.dbr,100,PRESENT,,ABSENT,25,PRESENT,,ABSENT,,ABSENT,records/proxies/lv3_strong.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.126582,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,7,records/creatures/enemies/chthonianleech_b01.dbr,75,PRESENT,4,PRESENT,30,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.094937,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,8,records/creatures/enemies/chthonianleech_b02.dbr,75,PRESENT,4,PRESENT,35,PRESENT,,ABSENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.094937,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,9,records/creatures/enemies/chthoniandevourer_a01.dbr,100,PRESENT,,ABSENT,,ABSENT,35,PRESENT,,ABSENT,records/proxies/lv3_strong.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.126582,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,10,records/creatures/enemies/chthoniandevourer_b01.dbr,75,PRESENT,4,PRESENT,12,PRESENT,35,PRESENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.094937,790,150,trash
records/proxies/poolsbasic/chthonianvoid_ambush_t3.dbr,sm_mod,sm_mod,database/templates/proxypool.tpl,normal,11,records/creatures/enemies/chthoniandevourer_b02.dbr,75,PRESENT,4,PRESENT,12,PRESENT,35,PRESENT,,ABSENT,records/proxies/lv4_champion+.dbr,PRESENT,7,8,0,0,0.0,records/proxies/proxypoolequation_01.dbr,False,0.094937,790,150,trash
