dim,rank,coordinate,level,loading,abs_loading
1,1,delivery,beam,2.183286621993183,2.183286621993183
1,2,geometry,cone,1.9798720907682998,1.9798720907682998
1,3,commit,channel,1.881288044705851,1.881288044705851
1,4,geometry,whirlwind,1.7989656232658418,1.7989656232658418
1,5,geometry,totem,-1.5230173716587383,1.5230173716587383
1,6,commit,wind-up,-1.2392268247072857,1.2392268247072857
1,7,dependency,apply→detonate,-1.172083310140225,1.172083310140225
1,8,proxy,heavy,-1.1560786241141972,1.1560786241141972
1,9,economy,cooldown,-0.946273973129835,0.946273973129835
1,10,geometry,other-rare,0.9225101975160098,0.9225101975160098
1,11,function,other-rare,-0.874828054248698,0.874828054248698
1,12,delivery,orbit,0.830309051978858,0.830309051978858
2,1,geometry,whirlwind,-2.5587019011117214,2.5587019011117214
2,2,function,taunt,-2.1946432452002322,2.1946432452002322
2,3,economy,reserve,-1.449342442577429,1.449342442577429
2,4,commit,channel,-1.434476011896056,1.434476011896056
2,5,geometry,chain,1.3223360624239582,1.3223360624239582
2,6,delivery,self-origin,-1.1355665004705766,1.1355665004705766
2,7,delivery,projectile,1.0757299550682407,1.0757299550682407
2,8,function,knockback,-1.072238984519142,1.072238984519142
2,9,economy,other-rare,0.9927120359727762,0.9927120359727762
2,10,geometry,dash_attack,-0.9101171747172905,0.9101171747172905
2,11,delivery,aura-pulse,-0.8736864622422333,0.8736864622422333
2,12,geometry,multi_projectile,0.8196820999887082,0.8196820999887082
3,1,treatment,control,2.7611223629425887,2.7611223629425887
3,2,geometry,cone,2.0908280196358398,2.0908280196358398
3,3,delivery,beam,2.0392901729868247,2.0392901729868247
3,4,commit,wind-up,1.9437741489622202,1.9437741489622202
3,5,economy,other-rare,1.042914837715372,1.042914837715372
3,6,geometry,vortex_pull,0.9747739137690805,0.9747739137690805
3,7,defense,absorb,0.8608883597034779,0.8608883597034779
3,8,function,hard-stop,0.8105282639409355,0.8105282639409355
3,9,function,knockback,0.774030185699226,0.774030185699226
3,10,amp,var,-0.7568922872371535,0.7568922872371535
3,11,delivery,aura-pulse,-0.7337004881565459,0.7337004881565459
3,12,geometry,multi_projectile,-0.7273531829889563,0.7273531829889563
4,1,geometry,dash_attack,2.0595648512549354,2.0595648512549354
4,2,function,taunt,-1.669959696229207,1.669959696229207
4,3,delivery,beam,-1.47005511673873,1.47005511673873
4,4,economy,other-rare,-1.4148255784064592,1.4148255784064592
4,5,delivery,other-rare,-1.4143861579053136,1.4143861579053136
4,6,economy,generator-spender,1.4123962533438803,1.4123962533438803
4,7,geometry,cone,-1.1641628709734635,1.1641628709734635
4,8,geometry,whirlwind,1.1448825184880085,1.1448825184880085
4,9,geometry,totem,-1.1184271450296612,1.1184271450296612
4,10,geometry,other-rare,-1.0807745490015987,1.0807745490015987
4,11,economy,free,0.9963353239608256,0.9963353239608256
4,12,proxy,heavy,-0.9708896114594922,0.9708896114594922
5,1,delivery,aura-pulse,2.521068360215386,2.521068360215386
5,2,geometry,whirlwind,-2.15085202702936,2.15085202702936
5,3,commit,channel,-1.8142684698710023,1.8142684698710023
5,4,economy,other-rare,-1.4852190149092068,1.4852190149092068
5,5,function,taunt,1.445157995902853,1.445157995902853
5,6,delivery,other-rare,1.4382974845743401,1.4382974845743401
5,7,geometry,other-rare,1.4116020159190281,1.4116020159190281
5,8,geometry,cone,-1.13667962801959,1.13667962801959
5,9,delivery,orbit,1.0997154013033996,1.0997154013033996
5,10,commit,wind-up,-1.0895567249420022,1.0895567249420022
5,11,defense,absorb,0.9564887520479767,0.9564887520479767
5,12,geometry,totem,-0.856171188005135,0.856171188005135
6,1,geometry,dash_attack,-2.5440923810065295,2.5440923810065295
6,2,delivery,aura-pulse,1.7577883513310568,1.7577883513310568
6,3,delivery,beam,1.482599968999448,1.482599968999448
6,4,economy,other-rare,-1.3120372482667237,1.3120372482667237
6,5,function,knockback,-1.2252240785636765,1.2252240785636765
6,6,economy,free,1.1873923147370136,1.1873923147370136
6,7,commit,wind-up,1.1315788075146105,1.1315788075146105
6,8,function,expose,-0.9274381940289628,0.9274381940289628
6,9,commit,channel,0.9135465408140225,0.9135465408140225
6,10,delivery,orbit,0.8636730733100225,0.8636730733100225
6,11,geometry,other-rare,0.8525411694135021,0.8525411694135021
