kit_id,death_class,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17
d2-blade-sin,extrinsic-tuning,0.18622798830425988,-0.5403496419643424,-0.549177177949036,0.057128098581376296,0.4239973668016809,-0.015902838754214478,-0.06899177970464154,-0.11805740530173608,-0.19792042971874121,0.4698681558210428,-0.2812034895074971,-0.40518512839878307,-0.16019917264101757,-0.1585407427142045,0.2365527647793931,-0.2253235177431788,-0.15662881646461918
d2-blaze-sorc,intrinsic-red,0.25115776826258807,-0.11177223422748914,-0.20570307642166444,-0.5363848103814657,0.015845926623404564,-0.11942419420439003,0.32808351783549866,0.28627646080677616,0.07969990643966392,-0.29253355886062987,0.13230719084987605,0.28563853090804237,-0.4569361512386161,0.184448343692839,0.2058168004982748,-0.07969337113598288,0.09679332259083276
d2-golemancer,extrinsic-split-scaling,0.49101590402290896,0.2712743087345428,0.5622407447765059,-0.24583241682759174,-0.19085323757507044,-0.16878660783267782,-0.3016451494103013,-0.1690083347614002,0.06010124665558059,-0.015139258871674978,-0.0970784494548463,0.14290616965128128,-0.17357701408506293,0.024036231192503033,0.19040563983123382,0.23777619544854714,0.20266036240357746
d2-grim-ward-barb,intrinsic-red,0.3324609085961391,0.3217775281862405,0.6864855881911038,-0.06469766454584557,0.0960348172354597,0.1125128819485496,-0.4667264219786914,0.1994167983531059,0.436560405185282,0.23055495540111165,-0.19126567741931566,0.24167651590507772,-0.5288098978611209,0.30804513978182146,-0.2019669970744923,-0.27834883546076383,-0.1831389431940169
d2-impale-zon,intrinsic-red,-0.7063532914127343,0.5786802897432776,0.7016828049675878,-0.10478430739028463,0.13618721360863595,0.05704817841284031,-0.032765762563525445,-0.07497470367818841,0.08151702146919895,0.2218787732994632,-0.22079463248986114,0.10268536768482434,-0.1531792605431198,-0.0275417016343162,-0.1875694963788142,-0.5806396171579984,-0.2868473543492008
d2-inferno-sorc,extrinsic-tuning,-0.017899059129404288,-0.8145848598358548,-1.034810368748084,-0.5371241549699254,0.6980710788418264,-0.27112631233414203,-0.6180973836055943,-0.22750550192762412,0.18607396694154527,1.2498913309216062,-0.1094035189748133,-0.736651812364479,-0.33275428234624166,-0.6541141136233591,0.13548861727928374,-0.01996196293701745,-0.9840160140012848
d2-leap-attack-barb,intrinsic-red,-0.7105046633632477,0.46322584635164576,0.28349617309146125,-0.0889189299504522,0.05170381319719218,0.08777493509051693,0.05975690024778584,0.044690344660592574,0.03340885493407946,0.12348919477896851,0.18430168227123378,0.1626618622336221,-0.3789013490021566,0.03664772829363752,0.11397369065444052,-0.26265038463156287,0.052251001497675184
d2-sacrifice,intrinsic-red,-0.28340916639063785,0.24192918054342952,0.2261590982085958,-0.1617776449715098,-0.012323094410160872,-0.06425562653894301,0.06120708486273706,0.092466218280123,-0.037666687244888274,0.045468987256925934,0.23163461653667725,0.05777033241281163,0.08974264206583969,-0.11232831860354697,0.1717472784334993,-0.17125156163896826,0.03236354900977051
d3-firebomb,extrinsic-itemization,-0.1458244802854685,-0.22812753517624765,-0.20433734863377048,0.3818570998550621,0.01402636712738595,0.23064789250907342,-0.13763121640331186,-0.15942939838938422,-0.031340629175260294,-0.24978977620016565,-0.1888259422728721,0.038446856104796395,0.16724883323953155,-0.1461540912314151,0.08339150965670483,0.002322578035885793,-0.04795207744162086
d3-shield-bash,extrinsic-tuning,-0.1659214272324729,0.22392870630868628,0.1888600539576769,-0.12484345432633956,-0.058116400646933845,-0.05683839255459905,0.04547087560113665,0.09240199846427119,-0.0038490501652082426,-0.03855330540545951,0.21413382147551915,0.07713040065024522,0.13473552232738262,-0.10701841077758119,0.12867182312970843,-0.11708438388210453,0.05133074502677791
d3-spectral-blade,extrinsic-itemization,-0.26826149691571566,-0.5053686307840577,-0.28935355754128644,-0.268659445642396,0.10249107586924794,-0.16722546452739856,0.45126260995278455,0.16342519933871943,-0.014541508857767643,-0.21208024573385578,-0.001728535991987315,0.15418588958173035,0.09989870734909805,0.023389158006346458,0.004477574662625168,0.0960520241436175,-0.10785576534580306
d3-wave-of-force,extrinsic-itemization,0.1893966355500791,-0.2589372449373774,-0.1915614870706941,-0.4623011230723217,0.028339500165463286,-0.21393213927102345,0.3760618364778569,0.12014022994249832,-0.08379571251478098,-0.28776760270606816,0.1277805097572508,0.19649041679213725,-0.026498140251605448,0.10926848328114787,0.20688674058572012,0.0671468684583374,0.02810896145030127
d4-blade-shift,extrinsic-itemization,0.19223074003780907,-0.37423893263022434,-0.35180636730532366,-0.36101935782399247,0.11683809994429094,-0.18198061694987563,0.43403834408845854,0.2192451300201325,0.07152207259333254,-0.2683768003757932,0.12101530791141484,0.13401710105674638,-0.025945710669626795,0.11574800006836954,0.09751330353112675,0.06480725071807293,0.10072204072174128
d4-incinerate,intrinsic-red,0.15434537392210673,-0.8491820571075915,-1.0181047083768746,-0.3804985427098645,0.8383792262160553,-0.059280667935496974,-0.7801400523906588,-0.3505987717042072,0.20654113427075926,1.3796688137509816,-0.22048863998026136,-0.6498729041623914,-0.3294725488174088,-0.7458594206015129,0.12625016718219084,-0.0493765631428325,-0.9914872768900926
d4-kick,extrinsic-itemization,-0.1659214272324729,0.22392870630868628,0.1888600539576769,-0.12484345432633956,-0.058116400646933845,-0.05683839255459905,0.04547087560113665,0.09240199846427119,-0.0038490501652082426,-0.03855330540545951,0.21413382147551915,0.07713040065024522,0.13473552232738262,-0.10701841077758119,0.12867182312970843,-0.11708438388210453,0.05133074502677791
d4-wind-shear,extrinsic-itemization,-0.1792952483741907,-0.230312088942703,-0.36332692033163994,0.6297379001870026,-0.004042873761577297,0.17460163045602933,0.005528471820238929,-0.15690248096028664,-0.10483092174808038,-0.35627114279476235,-0.14248637237320583,-0.2502760237285731,0.08935211461984163,-0.15004852838102184,0.052926512652868046,0.02998270555572749,0.04842336105759246
gd-blade-trap,extrinsic-content-mix,0.22328601415164873,0.2635041319811824,0.01511558628840625,-0.10460499685771851,-0.08313687442458338,0.15753820240022673,-0.18471152818750933,0.1698640028601499,0.240248948847283,0.007600818019454288,0.14107852515009067,0.19925292690963103,-0.374180883757682,0.028810134707461597,0.15556425612184263,-0.04641864750839713,0.16229669298949193
gd-reap-spirit,extrinsic-split-scaling,0.07504165573656288,0.24526759577676752,0.4600043928922175,0.23415390276903836,0.07031219730810355,0.05271090369585369,-0.22088084355084944,0.02194858987088848,-0.06398667071404839,0.08991656736020692,0.22890558440726178,0.04005982829859857,-0.3207829949079287,0.13428676330975017,0.14235374692029187,-0.030440194253744585,0.061284561029110646
gd-stun-jacks,extrinsic-no-lever,0.16152488143913976,0.1163391212712941,0.02925717563937668,-0.030521309548574377,-0.07064330088252464,0.06303025733359335,-0.13673320954515125,0.003727771995872056,0.07675332989283819,0.012366774174016049,0.13655184405746545,0.11010481279372585,0.05625712722932864,-0.04636972570422959,0.15663419620928798,0.10042159208592312,0.09361233184896045
hot-blood-catcher,system-evidence,0.34156178150924466,-0.46084066316077116,0.1323127147838754,-0.020477115828083023,0.45770152469466235,0.6849242939136595,-0.8673524087369142,-0.3088248539832655,0.1517415290593139,-0.36666644191535425,1.0348213352384699,2.2120531121231775,-0.807459057923597,0.2218105654797548,0.025874058764748395,-0.7364386007758773,-0.40966944257696514
le-shield-bash-le,extrinsic-itemization,-0.1659214272324729,0.22392870630868628,0.1888600539576769,-0.12484345432633956,-0.058116400646933845,-0.05683839255459905,0.04547087560113665,0.09240199846427119,-0.0038490501652082426,-0.03855330540545951,0.21413382147551915,0.07713040065024522,0.13473552232738262,-0.10701841077758119,0.12867182312970843,-0.11708438388210453,0.05133074502677791
le-soul-feast,extrinsic-split-scaling,0.08703139947957175,0.5825799058350607,0.023999682947855754,0.1278525480375651,-0.03215682017224995,0.039579024919565456,0.2490410591698404,-0.20660230135481547,-0.29416534264531286,0.08454404440481313,0.07389622360020794,-0.0247107782449643,0.21751953786364736,-0.16368752215120205,-0.22603681182658839,-0.05364147111173997,-0.03224084730225858
le-tempest-strike,extrinsic-no-lever,0.21818688029527766,0.24943510364276367,-0.24124998698188244,0.15852200376740416,-0.08086724582314027,0.024591699376900106,0.30971674555267326,0.38776681400705065,0.2016600940129321,0.16071733243712844,0.11577264402048973,0.15663790917994766,0.21582802420865022,0.267501761542296,-0.29098699610555834,0.15014014613118548,-0.09930865232466532
poe1-charged-dash,intrinsic-red,0.17001592836921578,-0.7686198399584454,-0.38468378871955167,-0.39975440685693264,0.473329804651255,-0.2768417114407414,0.4079266460021924,0.34686621189966155,-0.2644075660397826,0.6277320868135218,-0.13018275196199885,-0.06881693586343966,-0.22375295739635437,0.17471950367612402,0.3439046863925214,-0.1694686500315442,-0.4622882213061128
poe1-cleave,extrinsic-no-lever,-0.00788544712464126,0.03563463085018379,-0.1476933649664625,-0.0858651565603062,-0.12245284847792591,-0.11686386474390395,0.08328596685051493,0.22592594185008935,0.21160394767173765,-0.09801990632508453,0.24087176321707754,-0.039147411143752545,0.05352782328247442,0.051855098061145896,0.05649920925178748,0.1274965745514737,0.17369667400920813
poe1-glacial-hammer,extrinsic-content-mix,-0.010719551612371231,0.15093631854303077,0.012551515268167147,-0.18714692180863535,-0.2109514482567536,-0.14881538706505174,0.025309459239913165,0.12682104177245518,0.0562861625636242,-0.11741070865535944,0.24763696506291358,0.02332590459163826,0.052975393700495824,0.04537558127392423,0.16587264630638085,0.12983619229173815,0.10108359473776815
