kit_id,death_class,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14
d2-blade-sin,extrinsic-tuning,0.9879572864818418,-0.3376474917475544,0.16103582630757748,-0.19706739377349555,-0.7872789698320776,0.214758441998802,-0.08904063428213041,0.06645004903847306,-0.1678545189912505,-0.05087410221424622,-0.16689449251589222,0.19435071534102014,-0.0994412319389312,0.24700230428131387
d2-blaze-sorc,intrinsic-red,0.20356439800278828,-0.35604142707698,0.01489228979560418,0.230279407018376,0.33567151014716173,-0.16529372436230153,-0.23487331248598783,0.21983534039605826,-0.0007771252488839621,0.010126296957165486,0.18091175253584169,-0.14022829529272787,0.017860235681192604,-0.13707297149124192
d2-golemancer,extrinsic-split-scaling,-0.506035769258718,-0.12750584617547625,-0.055091181326785935,-0.4651871860679511,0.2130537816435309,0.1001872441273268,-0.29254104234154166,-0.3767104583142319,-0.28950030446073255,0.06854359456000708,0.0227179431734298,-0.14591880221869383,0.1003311657225707,-0.03716382340883283
d2-grim-ward-barb,,-0.6357514039629041,0.027315107703768833,0.23535914933875574,-0.373954483351285,-0.17083046325852666,0.1984651325559319,-0.04532074994913218,0.022736428518205922,-0.357302633100746,-0.21138859527604872,-0.41682404237754356,-0.5889417973050391,-0.17320417008379752,-0.5462396563238834
d2-impale-zon,,-1.214873739402218,0.14778635443655752,1.342888797337945,0.1333862698669089,-0.8001610873182253,0.6848362090387257,0.24121338063932093,1.4419388299583737,0.8347620003574521,-0.049583488310331034,1.0653439557238353,0.14078961497843523,-0.7393138398661792,-0.091707839056438
d2-inferno-sorc,extrinsic-tuning,1.574849219918444,-0.7518486928574137,0.6687420683691732,-0.14465554602266142,-0.94627137125986,0.8787552381763597,0.34720016379918156,-0.3366428399869459,-0.6476421707995289,0.36433373004011455,-0.05358148493394531,0.13686295797524023,-0.5426095749131901,0.16970972222418507
d2-leap-attack-barb,intrinsic-red,-0.8207590021261509,0.20657754865760727,1.1543711790216629,0.2820505144391161,-0.4431243336285782,0.6455025861339706,0.24573724813026673,1.4407784934999286,0.7411828896661036,-0.0379715522266754,1.126296564341325,0.2403422735707833,-0.299031317078441,0.22099416978683828
d2-sacrifice,,-0.4176379101101155,-0.22712037565030774,0.24040167779940141,0.249526909957476,0.02849612993836452,-0.006996043214779677,0.34472499159370507,0.40036976524964263,0.10650642895724993,0.08467729271591617,0.0422493771900194,0.2002000613525032,0.18427143595768203,0.2407367135954877
d3-firebomb,extrinsic-itemization,0.22187030213960374,0.4062216463097257,-0.10162860900559054,0.06111835039558389,0.04207117863159417,-0.2163726301118729,0.17043439419204084,-0.22288417700179658,0.17346078001929147,0.5091417497530928,-0.42833248096155624,0.03508880860431463,-0.19090746563538347,0.037759791829265435
d3-shield-bash,extrinsic-tuning,-0.383033916156251,-0.15172931623082359,0.14957786239839685,0.2028593718480153,0.11618285434259773,-0.06692180023639054,0.29034167791512716,0.2822113686319647,0.07158047161712111,0.07547919387693622,0.00972213724140306,0.14452714181175624,0.17311923826727704,0.1798815753119592
