2026-08-24T03:32:18Z	01-ground_targeted_circle	rc=0	start=2026-08-24T03:29:39Z end=2026-08-24T03:32:18Z dossier_bytes=    3877
2026-08-24T03:38:06Z	02-melee_strike	rc=0	start=2026-08-24T03:32:54Z end=2026-08-24T03:38:06Z dossier_bytes=    4736
2026-08-24T03:42:03Z	03-self_buff	rc=0	start=2026-08-24T03:38:06Z end=2026-08-24T03:42:03Z dossier_bytes=    4016
2026-08-24T03:45:28Z	04-totem	rc=0	start=2026-08-24T03:42:03Z end=2026-08-24T03:45:28Z dossier_bytes=    3953
2026-08-24T03:50:05Z	05-single_target	rc=0	start=2026-08-24T03:45:28Z end=2026-08-24T03:50:05Z dossier_bytes=    4704
2026-08-24T03:53:39Z	06-melee_arc	rc=0	start=2026-08-24T03:50:05Z end=2026-08-24T03:53:39Z dossier_bytes=    4182
2026-08-24T03:59:20Z	07-aura	rc=0	start=2026-08-24T03:53:39Z end=2026-08-24T03:59:20Z dossier_bytes=    5665
2026-08-24T04:02:52Z	08-multi_projectile	rc=0	start=2026-08-24T03:59:20Z end=2026-08-24T04:02:52Z dossier_bytes=    5408
2026-08-24T04:06:38Z	09-line	rc=0	start=2026-08-24T04:02:52Z end=2026-08-24T04:06:38Z dossier_bytes=    4527
2026-08-24T04:10:57Z	10-ring	rc=0	start=2026-08-24T04:06:38Z end=2026-08-24T04:10:57Z dossier_bytes=    5087
2026-08-24T04:15:15Z	11-circle	rc=0	start=2026-08-24T04:10:57Z end=2026-08-24T04:15:15Z dossier_bytes=    6026
2026-08-24T04:18:49Z	12-whirlwind	rc=0	start=2026-08-24T04:15:15Z end=2026-08-24T04:18:49Z dossier_bytes=    4893
2026-08-24T04:22:57Z	13-dash_attack	rc=0	start=2026-08-24T04:18:49Z end=2026-08-24T04:22:57Z dossier_bytes=    6900
2026-08-24T04:27:14Z	14-ground_slam	rc=0	start=2026-08-24T04:22:57Z end=2026-08-24T04:27:14Z dossier_bytes=    4918
2026-08-24T04:32:46Z	15-beam_channel	rc=0	start=2026-08-24T04:27:14Z end=2026-08-24T04:32:46Z dossier_bytes=    5360
2026-08-24T04:36:04Z	16-blink	rc=0	start=2026-08-24T04:32:46Z end=2026-08-24T04:36:04Z dossier_bytes=    5875
2026-08-24T04:39:42Z	17-cone	rc=0	start=2026-08-24T04:36:04Z end=2026-08-24T04:39:42Z dossier_bytes=    4720
2026-08-24T04:43:04Z	18-orbit	rc=0	start=2026-08-24T04:39:42Z end=2026-08-24T04:43:04Z dossier_bytes=    5026
2026-08-24T04:46:16Z	19-chain	rc=0	start=2026-08-24T04:43:04Z end=2026-08-24T04:46:16Z dossier_bytes=    4308
2026-08-24T04:50:17Z	20-vortex_pull	rc=0	start=2026-08-24T04:46:16Z end=2026-08-24T04:50:17Z dossier_bytes=    5432
2026-08-24T04:54:00Z	21-placed_lane	rc=0	start=2026-08-24T04:50:17Z end=2026-08-24T04:54:00Z dossier_bytes=    5561
2026-08-24T04:57:23Z	22-ricochet_bounce	rc=0	start=2026-08-24T04:54:00Z end=2026-08-24T04:57:23Z dossier_bytes=    5387
2026-08-24T05:01:20Z	23-teleport	rc=0	start=2026-08-24T04:57:23Z end=2026-08-24T05:01:20Z dossier_bytes=    5043
2026-08-24T05:05:00Z	24-leap_strike	rc=0	start=2026-08-24T05:01:20Z end=2026-08-24T05:05:00Z dossier_bytes=    5337
2026-08-24T05:10:03Z	25-fork	rc=0	start=2026-08-24T05:05:00Z end=2026-08-24T05:10:03Z dossier_bytes=    6339
2026-08-24T05:16:02Z	26-defensive_dash	rc=0	start=2026-08-24T05:10:03Z end=2026-08-24T05:16:02Z dossier_bytes=    6381
2026-08-24T13:41:03Z	27-gtc_nonpoe_supplement	rc=0	start=2026-08-24T13:35:23Z end=2026-08-24T13:41:03Z dossier_bytes=    3572
2026-08-24T13:48:08Z	28-st_nonpoe_supplement	rc=0	start=2026-08-24T13:41:03Z end=2026-08-24T13:48:08Z dossier_bytes=    5152
2026-08-24T13:59:39Z	29-ww_clean_baseline	rc=0	start=2026-08-24T13:48:08Z end=2026-08-24T13:59:39Z dossier_bytes=    4363
2026-08-24T14:03:40Z	30-ma_video_companion	rc=0	start=2026-08-24T13:59:39Z end=2026-08-24T14:03:40Z dossier_bytes=    3612
